Одеський	Одеса	Одеська	46°29′08″ пн. ш. 30°44′36″ сх. д.
Подільський	Подільськ	Одеська	47°44′31″ пн. ш. 29°32′06″ сх. д.
Роздільнянський	Роздільна	Одеська	46°51′07″ пн. ш. 30°04′28″ сх. д.
Кременчуцький	Кременчук	Полтавська	NULL
Лубенський	Лубни	Полтавська	NULL
Миргородський	Миргород	Полтавська	NULL
Полтавський	Полтава	Полтавська	NULL
Вараський	Вараш	Рівненська	51°20′40″ пн. ш. 25°51′03″ сх. д.
Дубенський	Дубно	Рівненська	50°23′35″ пн. ш. 25°44′06″ сх. д.
Рівненський	Рівне	Рівненська	50°37′11″ пн. ш. 26°15′05″ сх. д.
Сарненський	Сарни	Рівненська	51°19′37″ пн. ш. 26°37′59″ сх. д.
Конотопський	Конотоп	Сумська	NULL
Охтирський	Охтирка	Сумська	NULL
Роменський	Ромни	Сумська	NULL
Сумський	Суми	Сумська	NULL
Шосткинський	Шостка	Сумська	NULL
Кременецький	Кременець	Тернопільська	50°06′29″ пн. ш. 25°43′39″ сх. д.
Тернопільський	Тернопіль	Тернопільська	49°34′00″ пн. ш. 25°36′00″ сх. д.
Чортківський	Чортків	Тернопільська	50°06′29″ пн. ш. 25°43′39″ сх. д.
Богодухівський	Богодухів	Харківська	NULL
Ізюмський	Ізюм	Харківська	NULL
Красноградський	Красноград	Харківська	NULL
Куп'янський	Куп'янськ	Харківська	NULL
Лозівський	Лозова	Харківська	NULL
Харківський	Харків	Харківська	NULL
Чугуївський	Чугуїв	Харківська	NULL
Бериславський	Берислав	Херсонська	NULL
Генічеський	Генічеськ	Херсонська	NULL
Каховський	Нова Каховка	Херсонська	NULL
Скадовський	Скадовськ	Херсонська	NULL
Херсонський	Херсон	Херсонська	NULL
Кам'янець-Подільський	Кам'янець-Подільський	Хмельницька	48°40′50″ пн. ш. 26°34′50″ сх. д.
Хмельницький	Хмельницький	Хмельницька	49°25′10″ пн. ш. 26°58′46″ сх. д.
Шепетівський	Шепетівка	Хмельницька	50°11′00″ пн. ш. 27°04′00″ сх. д.
Звенигородський	Звенигородка	Черкаська	NULL
Золотоніський	Золотоноша	Черкаська	NULL
Уманський	Умань	Черкаська	NULL
Черкаський	Черкаси	Черкаська	NULL
Вижницький	Вижниця	Чернівецька	48°15′00″ пн. ш. 25°11′30″ сх. д.
Дністровський	смт Кельменці	Чернівецька	48°27′48″ пн. ш. 26°49′45″ сх. д.
Чернівецький	Чернівці	Чернівецька	48°17′27″ пн. ш. 25°56′04″ сх. д.
Корюківський	Корюківка	Чернігівська	51°46′31″ пн. ш. 32°14′58″ сх. д.
Ніжинський	Ніжин	Чернігівська	51°02′34″ пн. ш. 31°52′25″ сх. д.
Новгород-Сіверський	Новгород-Сіверський	Чернігівська	51°59′50″ пн. ш. 33°16′00″ сх. д.
Прилуцький	Прилуки	Чернігівська	50°35′21″ пн. ш. 32°23′08″ сх. д.
Чернігівський	Чернігів	Чернігівська	51°29′28″ пн. ш. 31°17′55″ сх. д.
Бахчисарайський	Бахчисарай	АР Крим	NULL
Білогірський	Білогірськ	АР Крим	NULL
Джанкойський	Джанкой	АР Крим	NULL
Євпаторійський	Євпаторія	АР Крим	NULL
Керченський	Керч	АР Крим	NULL
Курманський	смт Курман	АР Крим	NULL
Перекопський	Яни Капу	АР Крим	NULL
Сімферопольський	Сімферополь	АР Крим	NULL
Феодосійський	Феодосія	АР Крим	NULL
Ялтинський	Ялта	АР Крим	NULL
Київ	Київ	Київська	50°27′00″ пн. ш. 30°31′25″ сх. д.
